Number,Equipment  Status,RAD  Center  (m),RAD  Center  (ft),Orient°  Azim.,Diameter  Ø  (mm),Length,Width,Depth,Type,Type,Number  of  Feeders,Size  of  the  Feeders,Customer,Equipment  Manufacturer,Equipment  Model,Mount  Description/Comments
[2.0 ,  'Existing' ,  23.9 ,  78.41207349081365 ,  90.0 ,  '' ,  1990.0 ,  300.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Cell  C' ,  'CS7217800.01' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[3.0 ,  'Existing' ,  23.9 ,  78.41207349081365 ,  240.0 ,  '' ,  1990.0 ,  300.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Cell  C' ,  'CS7217800.01' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[4.0 ,  'Proposed' ,  20.7 ,  67.91338582677166 ,  '' ,  '' ,  420.0 ,  342.0 ,  149.0 ,  'RRU' ,  'STD' ,  'Fiber' ,  'Cable' ,  'MTN' ,  'Ericsson' ,  2212.0 ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[5.0 ,  'Proposed' ,  20.7 ,  67.91338582677166 ,  '' ,  '' ,  420.0 ,  342.0 ,  149.0 ,  'RRU' ,  'STD' ,  'Fiber' ,  'Cable' ,  'MTN' ,  'Ericsson' ,  2212.0 ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[6.0 ,  'Proposed' ,  20.7 ,  67.91338582677166 ,  '' ,  '' ,  420.0 ,  342.0 ,  149.0 ,  'RRU' ,  'STD' ,  'Fiber' ,  'Cable' ,  'MTN' ,  'Ericsson' ,  2212.0 ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE  /  SWAP' ,  'Existing' ,  20.7 ,  67.91338582677166 ,  0.0 ,  '' ,  2530.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  'Kathrein' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE  /  SWAP' ,  'Existing' ,  20.7 ,  67.91338582677166 ,  90.0 ,  '' ,  2530.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  'Kathrein' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE  /  SWAP' ,  'Existing' ,  20.7 ,  67.91338582677166 ,  240.0 ,  '' ,  2530.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  'Kathrein' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[7.0 ,  'Proposed' ,  20.7 ,  67.91338582677166 ,  '' ,  '' ,  420.0 ,  342.0 ,  149.0 ,  'RRU' ,  'STD' ,  'Fiber' ,  'Cable' ,  'MTN' ,  'Ericsson' ,  4415.0 ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[8.0 ,  'Proposed' ,  20.7 ,  67.91338582677166 ,  '' ,  '' ,  420.0 ,  342.0 ,  149.0 ,  'RRU' ,  'STD' ,  'Fiber' ,  'Cable' ,  'MTN' ,  'Ericsson' ,  4415.0 ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[9.0 ,  'Proposed' ,  20.7 ,  67.91338582677166 ,  '' ,  '' ,  420.0 ,  342.0 ,  149.0 ,  'RRU' ,  'STD' ,  'Fiber' ,  'Cable' ,  'MTN' ,  'Ericsson' ,  4415.0 ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[10.0 ,  'Proposed' ,  20.7 ,  67.91338582677166 ,  '' ,  '' ,  1828.0 ,  498.0 ,  197.0 ,  'Panel' ,  'HP' ,  'Fiber' ,  'Cable' ,  'MTN' ,  'Commscope' ,  'RRV4-65B-R6' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[11.0 ,  'Proposed' ,  20.7 ,  67.91338582677166 ,  '' ,  '' ,  1828.0 ,  498.0 ,  197.0 ,  'Panel' ,  'HP' ,  'Fiber' ,  'Cable' ,  'MTN' ,  'Commscope' ,  'RRV4-65B-R6' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[12.0 ,  'Proposed' ,  20.7 ,  67.91338582677166 ,  '' ,  '' ,  1828.0 ,  498.0 ,  197.0 ,  'Panel' ,  'HP' ,  'Fiber' ,  'Cable' ,  'MTN' ,  'Commscope' ,  'RRV4-65B-R6' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[13.0 ,  'Proposed' ,  20.7 ,  67.91338582677166 ,  '' ,  '' ,  380.0 ,  335.0 ,  289.0 ,  'RRU' ,  'HP' ,  'Fiber' ,  'Cable' ,  'MTN' ,  'Ericsson' ,  4443.0 ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[14.0 ,  'Proposed' ,  20.7 ,  67.91338582677166 ,  '' ,  '' ,  380.0 ,  335.0 ,  289.0 ,  'RRU' ,  'HP' ,  'Fiber' ,  'Cable' ,  'MTN' ,  'Ericsson' ,  4443.0 ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[15.0 ,  'Proposed' ,  20.7 ,  67.91338582677166 ,  '' ,  '' ,  380.0 ,  335.0 ,  289.0 ,  'RRU' ,  'HP' ,  'Fiber' ,  'Cable' ,  'MTN' ,  'Ericsson' ,  4443.0 ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[16.0 ,  'Existing' ,  17.0 ,  55.7742782152231 ,  270.0 ,  390.0 ,  '' ,  '' ,  '' ,  'Dish' ,  'STD' ,  2.0 ,  '4  +  10' ,  'Cell  C' ,  'Andrew' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[17.0 ,  'Existing' ,  16.6 ,  54.46194225721785 ,  330.0 ,  390.0 ,  '' ,  '' ,  '' ,  'Dish' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  'Commscope' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[1.0 ,  'Existing' ,  23.8 ,  '' ,  '' ,  '' ,  1990.0 ,  300.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Cell  C' ,  '' ,  '' ,  'Unspecified  Panel' ,  '' ,  '' ,  '' ,  '' ,  '']
[2.0 ,  'Existing' ,  23.8 ,  '' ,  '' ,  '' ,  1990.0 ,  300.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Cell  C' ,  '' ,  '' ,  'Unspecified  Panel' ,  '' ,  '' ,  '' ,  '' ,  '']
[3.0 ,  'Existing' ,  23.8 ,  '' ,  '' ,  '' ,  1990.0 ,  300.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Cell  C' ,  '' ,  '' ,  'Unspecified  Panel' ,  '' ,  '' ,  '' ,  '' ,  '']
[4.0 ,  'Existing' ,  24.44 ,  '' ,  '' ,  660.0 ,  '' ,  '' ,  '' ,  'Dish' ,  'HP' ,  2.0 ,  '10  &  6' ,  'Cell  C' ,  '' ,  '' ,  'Andrew  Dish' ,  '' ,  '' ,  '' ,  '' ,  '']
[5.0 ,  'Existing' ,  20.5 ,  '' ,  '' ,  '' ,  2630.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Vodacom' ,  '' ,  '' ,  'Kathrein  Panel' ,  '' ,  '' ,  '' ,  '' ,  '']
[6.0 ,  'Existing' ,  20.5 ,  '' ,  '' ,  '' ,  2630.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Vodacom' ,  '' ,  '' ,  'Kathrein  Panel' ,  '' ,  '' ,  '' ,  '' ,  '']
[7.0 ,  'Existing' ,  20.5 ,  '' ,  '' ,  '' ,  2630.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Vodacom' ,  '' ,  '' ,  'Kathrein  Panel' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE  /  SWAP' ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  2520.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'Kathrein  Panel' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE  /  SWAP' ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  2520.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'Kathrein  Panel' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE  /  SWAP' ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  2520.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'Kathrein  Panel' ,  '' ,  '' ,  '' ,  '' ,  '']
[8.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  1970.0 ,  301.0 ,  181.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'Commscope  Panel' ,  '' ,  '' ,  '' ,  '' ,  '']
[9.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  1970.0 ,  301.0 ,  181.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'Commscope  Panel' ,  '' ,  '' ,  '' ,  '' ,  '']
[10.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  1970.0 ,  301.0 ,  181.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'Commscope  Panel' ,  '' ,  '' ,  '' ,  '' ,  '']
[11.0 ,  'Existing' ,  17.1 ,  '' ,  '' ,  680.0 ,  '' ,  '' ,  '' ,  'Dish' ,  'STD' ,  1.0 ,  6.0 ,  'MTN' ,  '' ,  '' ,  'Radiowave  Dish' ,  '' ,  '' ,  '' ,  '' ,  '']
[12.0 ,  'Existing' ,  17.1 ,  '' ,  '' ,  390.0 ,  '' ,  '' ,  '' ,  'Dish' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Andrew  Dish' ,  '' ,  '' ,  '' ,  '' ,  '']
[13.0 ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  178.0 ,  60.0 ,  50.0 ,  'RCU' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Katherein  RCU' ,  '' ,  '' ,  '' ,  '' ,  '']
[14.0 ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  178.0 ,  60.0 ,  50.0 ,  'RCU' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Katherein  RCU' ,  '' ,  '' ,  '' ,  '' ,  '']
[15.0 ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  178.0 ,  60.0 ,  50.0 ,  'RCU' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Katherein  RCU' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE' ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  178.0 ,  60.0 ,  50.0 ,  'RCU' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Katherein  RCU' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE' ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  178.0 ,  60.0 ,  50.0 ,  'RCU' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Katherein  RCU' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE' ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  178.0 ,  60.0 ,  50.0 ,  'RCU' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Katherein  RCU' ,  '' ,  '' ,  '' ,  '' ,  '']
[16.0 ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  205.0 ,  160.0 ,  63.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Kathrein  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[17.0 ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  205.0 ,  160.0 ,  63.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Kathrein  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[18.0 ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  205.0 ,  160.0 ,  63.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Kathrein  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE' ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  205.0 ,  160.0 ,  63.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Kathrein  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE' ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  205.0 ,  160.0 ,  63.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Kathrein  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE' ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  205.0 ,  160.0 ,  63.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Kathrein  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[19.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  316.0 ,  202.0 ,  112.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Comba  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[20.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  316.0 ,  202.0 ,  112.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Comba  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[21.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  316.0 ,  202.0 ,  112.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Comba  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[22.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  316.0 ,  202.0 ,  112.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Comba  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[23.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  316.0 ,  202.0 ,  112.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Comba  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[24.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  316.0 ,  202.0 ,  112.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Comba  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[25.0 ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  220.0 ,  150.0 ,  50.0 ,  'TMA' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Ericsson  TTA' ,  '' ,  '' ,  '' ,  '' ,  '']
[26.0 ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  220.0 ,  150.0 ,  50.0 ,  'TMA' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Ericsson  TTA' ,  '' ,  '' ,  '' ,  '' ,  '']
[27.0 ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  220.0 ,  150.0 ,  50.0 ,  'TMA' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Ericsson  TTA' ,  '' ,  '' ,  '' ,  '' ,  '']
['Antenna  1' ,  'Existing' ,  15.7 ,  51.509186351706035 ,  '' ,  '' ,  2590.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Vodacom' ,  '' ,  '' ,  'Panel' ,  '' ,  '2590  x  270  x  150' ,  '' ,  '' ,  '']
['Antenna  2' ,  'Existing' ,  15.7 ,  51.509186351706035 ,  '' ,  '' ,  2590.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Vodacom' ,  '' ,  '' ,  'Panel' ,  '' ,  '2590  x  270  x  150' ,  '' ,  '' ,  '']
['Antenna  3' ,  'Existing' ,  15.7 ,  51.509186351706035 ,  '' ,  '' ,  2590.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Vodacom' ,  '' ,  '' ,  'Panel' ,  '' ,  '2590  x  270  x  150' ,  '' ,  '' ,  '']
['Antenna  4' ,  'Existing' ,  17.0 ,  55.7742782152231 ,  '' ,  390.0 ,  '' ,  '' ,  '' ,  'Dish' ,  'STD' ,  1.0 ,  10.0 ,  'Vodacom' ,  '' ,  '' ,  'MW  Dish' ,  '' ,  '390mm' ,  '' ,  '' ,  '']
['Antenna  5' ,  'Existing' ,  17.2 ,  56.43044619422572 ,  '' ,  660.0 ,  '' ,  '' ,  '' ,  'Dish' ,  'STD' ,  1.0 ,  10.0 ,  'Cell  C' ,  '' ,  '' ,  'MW  Dish' ,  '' ,  '660mm' ,  '' ,  '' ,  '']
['Antenna  6' ,  'Proposed' ,  13.896 ,  45.59055118110236 ,  '' ,  '' ,  795.0 ,  395.0 ,  220.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  '' ,  '' ,  '' ,  'Panel' ,  '' ,  '795  x  395  x  220' ,  '' ,  '' ,  'RAIN']
['Antenna  7' ,  'Proposed' ,  13.896 ,  45.59055118110236 ,  '' ,  '' ,  795.0 ,  395.0 ,  220.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  '' ,  '' ,  '' ,  'Panel' ,  '' ,  '795  x  395  x  220' ,  '' ,  '' ,  'RAIN']
['Antenna  8' ,  'Proposed' ,  13.896 ,  45.59055118110236 ,  '' ,  '' ,  795.0 ,  395.0 ,  220.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  '' ,  '' ,  '' ,  'Panel' ,  '' ,  '795  x  395  x  220' ,  '' ,  '' ,  'RAIN']
['Antenna  9' ,  'Existing' ,  16.9 ,  55.44619422572178 ,  '' ,  '' ,  280.0 ,  240.0 ,  '' ,  '' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'Panel' ,  '' ,  '280  x  240  x  ' ,  '' ,  '' ,  '']
['Antenna  10' ,  'Existing' ,  17.5 ,  57.41469816272966 ,  '' ,  '' ,  400.0 ,  240.0 ,  140.0 ,  'RRU' ,  'STD' ,  2.0 ,  28.0 ,  'Telkom' ,  '' ,  '' ,  'RRU' ,  '' ,  '400  x  240  x  140' ,  '' ,  '' ,  '']
['Antenna  11' ,  'Existing' ,  17.5 ,  57.41469816272966 ,  '' ,  '' ,  400.0 ,  240.0 ,  140.0 ,  'RRU' ,  'STD' ,  2.0 ,  28.0 ,  'Telkom' ,  '' ,  '' ,  'RRU' ,  '' ,  '400  x  240  x  140' ,  '' ,  '' ,  '']
['Antenna  12' ,  'Existing' ,  17.5 ,  57.41469816272966 ,  '' ,  '' ,  400.0 ,  240.0 ,  140.0 ,  'RRU' ,  'STD' ,  2.0 ,  28.0 ,  'Telkom' ,  '' ,  '' ,  'RRU' ,  '' ,  '400  x  240  x  140' ,  '' ,  '' ,  '']
['Antenna  13' ,  'Existing' ,  18.4 ,  60.36745406824147 ,  '' ,  '' ,  480.0 ,  280.0 ,  180.0 ,  'RRU' ,  'STD' ,  2.0 ,  28.0 ,  'Telkom' ,  '' ,  '' ,  'RRU' ,  '' ,  '480  x  280  x  180' ,  '' ,  '' ,  '']
['Antenna  14' ,  'Existing' ,  18.4 ,  60.36745406824147 ,  '' ,  '' ,  480.0 ,  280.0 ,  180.0 ,  'RRU' ,  'STD' ,  2.0 ,  28.0 ,  'Telkom' ,  '' ,  '' ,  'RRU' ,  '' ,  '480  x  280  x  180' ,  '' ,  '' ,  '']
['Antenna  15' ,  'Existing' ,  18.4 ,  60.36745406824147 ,  '' ,  '' ,  480.0 ,  280.0 ,  180.0 ,  'RRU' ,  'STD' ,  2.0 ,  28.0 ,  'Telkom' ,  '' ,  '' ,  'RRU' ,  '' ,  '480  x  280  x  180' ,  '' ,  '' ,  '']
['Antenna  16' ,  'Existing' ,  18.4 ,  60.36745406824147 ,  '' ,  '' ,  1400.0 ,  510.0 ,  125.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Telkom' ,  '' ,  '' ,  'Panel' ,  '' ,  '1400  x  510  x  125' ,  '' ,  '' ,  '']
['Antenna  17' ,  'Existing' ,  18.4 ,  60.36745406824147 ,  '' ,  '' ,  1400.0 ,  510.0 ,  125.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Telkom' ,  '' ,  '' ,  'Panel' ,  '' ,  '1400  x  510  x  125' ,  '' ,  '' ,  '']
['Antenna  18' ,  'Existing' ,  18.4 ,  60.36745406824147 ,  '' ,  '' ,  1400.0 ,  510.0 ,  125.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Telkom' ,  '' ,  '' ,  'Panel' ,  '' ,  '1400  x  510  x  125' ,  '' ,  '' ,  '']
['Antenna  19' ,  'Existing' ,  20.5 ,  67.25721784776903 ,  '' ,  660.0 ,  '' ,  '' ,  '' ,  'Dish' ,  'STD' ,  1.0 ,  10.0 ,  'Cell  C' ,  '' ,  '' ,  'MW  Dish' ,  '' ,  '660mm' ,  '' ,  '' ,  '']
['Antenna  20' ,  'Existing' ,  22.5 ,  73.81889763779527 ,  '' ,  '' ,  1828.0 ,  498.0 ,  197.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'Panel' ,  '' ,  '1828  x  498  x  197' ,  '' ,  '' ,  '']
['Antenna  21' ,  'Existing' ,  22.5 ,  73.81889763779527 ,  '' ,  '' ,  1828.0 ,  498.0 ,  197.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'Panel' ,  '' ,  '1828  x  498  x  197' ,  '' ,  '' ,  '']
['Antenna  22' ,  'Existing' ,  22.5 ,  73.81889763779527 ,  '' ,  '' ,  1828.0 ,  498.0 ,  197.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'Panel' ,  '' ,  '1828  x  498  x  197' ,  '' ,  '' ,  '']
['Antenna  23' ,  'Existing' ,  23.95 ,  78.5761154855643 ,  '' ,  660.0 ,  '' ,  '' ,  '' ,  'Dish' ,  'STD' ,  1.0 ,  10.0 ,  'Cell  C' ,  '' ,  '' ,  'MW  Dish' ,  '' ,  '660mm' ,  '' ,  '' ,  '']
['Antenna  24' ,  'Existing' ,  24.8 ,  81.36482939632546 ,  '' ,  '' ,  1400.0 ,  300.0 ,  120.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Cell  C' ,  '' ,  '' ,  'Panel' ,  '' ,  '1400  x  300  x  120' ,  '' ,  '' ,  '']
['Antenna  25' ,  'Existing' ,  24.8 ,  81.36482939632546 ,  '' ,  '' ,  1400.0 ,  300.0 ,  120.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Cell  C' ,  '' ,  '' ,  'Panel' ,  '' ,  '1400  x  300  x  120' ,  '' ,  '' ,  '']
['Antenna  26' ,  'Existing' ,  24.8 ,  81.36482939632546 ,  '' ,  '' ,  1400.0 ,  300.0 ,  120.0 ,  'Panel' ,  'STD' ,  2.0 ,  28.0 ,  'Cell  C' ,  '' ,  '' ,  'Panel' ,  '' ,  '1400  x  300  x  120' ,  '' ,  '' ,  '']
['Antenna  27' ,  'Existing' ,  25.85 ,  84.80971128608924 ,  '' ,  660.0 ,  '' ,  '' ,  '' ,  'Dish' ,  'STD' ,  1.0 ,  10.0 ,  'Cell  C' ,  '' ,  '' ,  'MW  Dish' ,  '' ,  '660mm' ,  '' ,  '' ,  '']
['Antenna  28' ,  'Existing' ,  24.9 ,  81.69291338582677 ,  '' ,  390.0 ,  '' ,  '' ,  '' ,  'Dish' ,  'STD' ,  1.0 ,  10.0 ,  'Cell  C' ,  '' ,  '' ,  'MW  Dish' ,  '' ,  '390mm' ,  '' ,  '' ,  '']
['Antenna  29' ,  'Existing' ,  22.5 ,  73.81889763779527 ,  '' ,  '' ,  380.0 ,  335.0 ,  289.0 ,  'RRU' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'RRU' ,  '' ,  '380  x  335  x  289' ,  '' ,  '' ,  '']
['Antenna  30' ,  'Existing' ,  22.5 ,  73.81889763779527 ,  '' ,  '' ,  380.0 ,  335.0 ,  289.0 ,  'RRU' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'RRU' ,  '' ,  '380  x  335  x  289' ,  '' ,  '' ,  '']
['Antenna  31' ,  'Existing' ,  22.5 ,  73.81889763779527 ,  '' ,  '' ,  380.0 ,  335.0 ,  289.0 ,  'RRU' ,  'STD' ,  2.0 ,  28.0 ,  'MTN' ,  '' ,  '' ,  'RRU' ,  '' ,  '380  x  335  x  289' ,  '' ,  '' ,  '']
[4.0 ,  'Existing' ,  24.5 ,  '  ' ,  1990.0 ,  300.0 ,  160.0 ,  'Panel' ,  '' ,  '' ,  2.0 ,  28.0 ,  'Cell  C' ,  'Unspecified  Panels' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[5.0 ,  'Existing' ,  21.5 ,  '' ,  2520.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  '' ,  2.0 ,  28.0 ,  'MTN' ,  'Kathrein  Panel' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[6.0 ,  'Existing' ,  21.5 ,  '' ,  2520.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  '' ,  2.0 ,  28.0 ,  'MTN' ,  'Kathrein  Panel' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[7.0 ,  'Existing' ,  21.5 ,  '' ,  2520.0 ,  270.0 ,  150.0 ,  'Panel' ,  'STD' ,  '' ,  2.0 ,  28.0 ,  'MTN' ,  'Kathrein  Panel' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
[8.0 ,  'Existing' ,  19.1 ,  390.0 ,  '' ,  '' ,  '' ,  'Dish' ,  '' ,  '' ,  1.0 ,  10.0 ,  'Cell  C' ,  'Andrew  Dish' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '' ,  '']
